date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:03	173530/173530	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Apr%202025%2023:26:11%20GMT	https://www.gravitee.io/	C:/My%20Web%20Sites/Ka%20gravitee/www.gravitee.io/index.html	(from )
11:25:03	142/142	---MCZ	200	added ('OK')	text/plain	etag:W/%22bfc9c9281e7b5640ffc26c2d7f9e710d%22	https://www.gravitee.io/robots.txt		(from )
11:25:03	1242/1242	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220c06fdd4baa74f178ef8eaff8007a8fe%22	https://www.gravitee.io/hubfs/Mark.svg	C:/My%20Web%20Sites/Ka%20gravitee/www.gravitee.io/hubfs/Mark.svg	(from https://www.gravitee.io/)
11:25:03	19051/19051	---MCZ	200	added ('OK')	text/css	etag:W/%22f23104aa878b090aaa34f529c5e95fb7%22	https://www.gravitee.io/hs-fs/hubfs/hub_generated/template_assets/1/65362293811/1744640694258/template_main.min.css	C:/My%20Web%20Sites/Ka%20gravitee/www.gravitee.io/hs-fs/hubfs/hub_generated/template_assets/1/65362293811/1744640694258/template_main.min.css	(from https://www.gravitee.io/)
11:25:03	7687/7687	---MCZ	200	added ('OK')	text/css	etag:W/%226639c4befa50666a982681d32d70a007%22	https://www.gravitee.io/hs-fs/hubfs/hub_generated/template_assets/1/65362142503/1744640687105/template_theme-overrides.min.css	C:/My%20Web%20Sites/Ka%20gravitee/www.gravitee.io/hs-fs/hubfs/hub_generated/template_assets/1/65362142503/1744640687105/template_theme-overrides.min.css	(from https://www.gravitee.io/)
11:25:04	31506/31506	---MCZ	200	added ('OK')	text/css	etag:W/%221e83c8b94cefed3f156dcf6ec1d26ecf%22	https://www.gravitee.io/hs-fs/hubfs/hub_generated/template_assets/1/67150940477/1744640684445/template_gravitee-two.min.css	C:/My%20Web%20Sites/Ka%20gravitee/www.gravitee.io/hs-fs/hubfs/hub_generated/template_assets/1/67150940477/1744640684445/template_gravitee-two.min.css	(from https://www.gravitee.io/)
11:25:04	19351/19351	---MCZ	200	added ('OK')	text/css	etag:W/%22d5ac0f55d9bc275455be7bd534d5b5b9%22	https://www.gravitee.io/hs-fs/hubfs/hub_generated/template_assets/1/65363705528/1744640692453/template_gravitee.css	C:/My%20Web%20Sites/Ka%20gravitee/www.gravitee.io/hs-fs/hubfs/hub_generated/template_assets/1/65363705528/1744640692453/template_gravitee.css	(from https://www.gravitee.io/)
11:25:04	12364/12364	---MCZ	200	added ('OK')	text/css	etag:W/%22f98349082ea1473f7846cc8ce884d9b0%22	https://www.gravitee.io/hs-fs/hubfs/hub_generated/template_assets/1/187107094582/1744903810393/template_child.min.css	C:/My%20Web%20Sites/Ka%20gravitee/www.gravitee.io/hs-fs/hubfs/hub_generated/template_assets/1/187107094582/1744903810393/template_child.min.css	(from https://www.gravitee.io/)
11:25:04	718/718	---MCZ	200	added ('OK')	text/css	etag:W/%22bb438cdbbf7a6bb220e566d579b69908%22	https://www.gravitee.io/hs-fs/hubfs/hub_generated/module_assets/1/69951595816/1744492675539/module_Skip_To_Links_for_Accessibility.min.css	C:/My%20Web%20Sites/Ka%20gravitee/www.gravitee.io/hs-fs/hubfs/hub_generated/module_assets/1/69951595816/1744492675539/module_Skip_To_Links_for_Accessibility.min.css	(from https://www.gravitee.io/)
11:25:04	6717/6717	---MCZ	200	added ('OK')	text/css	etag:W/%22c01ca639e1a82f1af30e516f8a9791b2%22	https://www.gravitee.io/hs-fs/hubfs/hub_generated/module_assets/1/65505562701/1744651744947/module_gravitee-mega-menu.min.css	C:/My%20Web%20Sites/Ka%20gravitee/www.gravitee.io/hs-fs/hubfs/hub_generated/module_assets/1/65505562701/1744651744947/module_gravitee-mega-menu.min.css	(from https://www.gravitee.io/)
11:25:05	106/106	---MCZ	200	added ('OK')	text/css	etag:W/%22978c93d0b37b800c5517b14ae392951d%22	https://www.gravitee.io/hs-fs/hubfs/hub_generated/module_assets/1/65675577449/1744492593822/module_buttons_dual.min.css	C:/My%20Web%20Sites/Ka%20gravitee/www.gravitee.io/hs-fs/hubfs/hub_generated/module_assets/1/65675577449/1744492593822/module_buttons_dual.min.css	(from https://www.gravitee.io/)
11:25:05	49/49	---MCZ	200	added ('OK')	text/css	etag:W/%22babcc66982dbfdb575c022858db091c8%22	https://www.gravitee.io/hs-fs/hubfs/hub_generated/module_assets/1/123505037919/1744492863715/module_vertical_spacer.min.css	C:/My%20Web%20Sites/Ka%20gravitee/www.gravitee.io/hs-fs/hubfs/hub_generated/module_assets/1/123505037919/1744492863715/module_vertical_spacer.min.css	(from https://www.gravitee.io/)
11:25:05	490/490	---MCZ	200	added ('OK')	text/css	etag:W/%22a70742372ccb1530ca9178b8334c3a17%22	https://www.gravitee.io/hs-fs/hubfs/hub_generated/module_assets/1/187800834148/1742831327791/module_gradient_border_image.min.css	C:/My%20Web%20Sites/Ka%20gravitee/www.gravitee.io/hs-fs/hubfs/hub_generated/module_assets/1/187800834148/1742831327791/module_gradient_border_image.min.css	(from https://www.gravitee.io/)
